total_obs,sev_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,13.0,12.0,9.0,11.0,11.0,9.0,9.0,12.0,10.0,11.0,11.0,7.0,11.0,9.0,5.0,8.0,12.0,8.0,9.0,11.0,7.0,9.0,9.0,6.0,11.0,10.0,13.0,10.0,5.0,9.0,11.0,10.0,6.0,9.0,17.0,10.0,12.0,10.0,5.0,9.0,8.0,11.0,14.0,6.0
12,1,3.0,3.0,3.0,5.0,2.0,3.0,9.0,2.0,4.0,5.0,6.0,3.0,6.0,4.0,4.0,3.0,4.0,7.0,2.0,4.0,8.0,5.0,3.0,1.0,7.0,2.0,6.0,5.0,2.0,4.0,6.0,3.0,4.0,4.0,5.0,3.0,3.0,6.0,3.0,4.0,5.0,3.0,3.0,6.0,5.0,6.0,5.0,3.0,6.0,1.0,3.0
12,2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0
12,3,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,6.0,6.0,6.0,5.0,8.0,5.0,3.0,7.0,4.0,6.0,6.0,10.0,6.0,6.0,8.0,3.0,7.0,6.0,8.0,9.0,6.0,9.0,6.0,3.0,7.0,7.0,7.0,2.0,6.0,7.0,7.0,11.0,8.0,10.0,4.0,6.0,4.0,4.0,6.0,10.0,7.0,4.0,6.0,8.0,2.0,5.0,9.0,5.0,3.0,6.0,5.0
13,1,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,4.0,4.0,6.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,6.0,2.0,2.0,0.0,2.0,3.0,5.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,3.0,4.0,5.0,0.0,2.0,4.0,4.0,3.0
13,2,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0
13,3,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
13,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,4.0,6.0,6.0,3.0,9.0,7.0,5.0,5.0,11.0,7.0,8.0,4.0,8.0,8.0,7.0,8.0,10.0,6.0,4.0,5.0,5.0,10.0,7.0,8.0,6.0,7.0,10.0,9.0,4.0,6.0,3.0,6.0,7.0,2.0,9.0,5.0,7.0,6.0,9.0,8.0,6.0,8.0,7.0,7.0,5.0,8.0,7.0,7.0,11.0,2.0,9.0
14,1,6.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,7.0,6.0,4.0,7.0,7.0,7.0,7.0,6.0,6.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,8.0,6.0,8.0,6.0,4.0,2.0,6.0,7.0,6.0,7.0,4.0,6.0,7.0,6.0,6.0,5.0,8.0,7.0,4.0
14,2,0.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0
