total_obs,total_exp,E,R1,R2,R3,R4,R5
7,5,2.0,1.0,0.0,1.0,0.0,0.0
7,6,0.0,0.0,0.0,1.0,0.0,0.0
8,0,5.0,6.0,3.0,3.0,4.0,3.0
8,1,2.0,4.0,5.0,5.0,3.0,4.0
8,2,3.0,3.0,1.0,2.0,1.0,2.0
8,3,2.0,2.0,1.0,4.0,2.0,0.0
8,4,1.0,1.0,1.0,0.0,1.0,1.0
8,5,1.0,0.0,0.0,0.0,0.0,2.0
8,6,1.0,0.0,0.0,1.0,1.0,0.0
9,0,2.0,2.0,2.0,3.0,5.0,1.0
9,1,1.0,2.0,3.0,4.0,1.0,1.0
9,2,1.0,0.0,1.0,1.0,3.0,2.0
9,3,1.0,0.0,2.0,2.0,1.0,1.0
9,4,0.0,0.0,0.0,1.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0,1.0,0.0
9,6,0.0,1.0,0.0,0.0,1.0,0.0
10,0,1.0,3.0,2.0,1.0,1.0,3.0
10,1,3.0,2.0,1.0,2.0,3.0,4.0
10,2,2.0,1.0,2.0,2.0,2.0,2.0
10,3,1.0,1.0,1.0,0.0,2.0,1.0
10,4,0.0,1.0,1.0,0.0,0.0,0.0
10,5,1.0,0.0,0.0,1.0,0.0,1.0
10,6,0.0,0.0,0.0,0.0,1.0,0.0
10,7,1.0,1.0,0.0,0.0,0.0,0.0
11,0,0.0,0.0,1.0,0.0,1.0,2.0
11,1,2.0,3.0,2.0,4.0,2.0,1.0
11,2,0.0,0.0,0.0,0.0,0.0,2.0
11,3,0.0,1.0,2.0,0.0,0.0,0.0
11,4,0.0,0.0,1.0,0.0,1.0,0.0
11,5,1.0,0.0,0.0,0.0,0.0,2.0
11,6,0.0,0.0,2.0,0.0,0.0,0.0
11,7,0.0,0.0,0.0,1.0,0.0,0.0
12,0,1.0,0.0,1.0,0.0,0.0,0.0
12,1,1.0,1.0,2.0,1.0,1.0,2.0
12,2,0.0,1.0,1.0,1.0,0.0,0.0
12,3,2.0,1.0,1.0,0.0,0.0,0.0
12,4,0.0,0.0,0.0,1.0,0.0,0.0
13,0,1.0,1.0,0.0,1.0,0.0,1.0
13,1,0.0,0.0,0.0,1.0,2.0,1.0
13,2,1.0,2.0,0.0,0.0,1.0,0.0
13,3,0.0,2.0,1.0,0.0,0.0,0.0
13,5,0.0,0.0,0.0,0.0,1.0,1.0
14,0,2.0,0.0,2.0,1.0,1.0,3.0
14,1,0.0,1.0,0.0,1.0,2.0,0.0
14,2,0.0,1.0,0.0,0.0,0.0,0.0
15,1,0.0,1.0,1.0,0.0,0.0,0.0
15,3,1.0,0.0,0.0,0.0,0.0,0.0
15,9,0.0,0.0,1.0,0.0,0.0,0.0
16,0,1.0,0.0,1.0,0.0,1.0,0.0
16,2,0.0,1.0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,1.0,0.0,0.0
17,1,0.0,2.0,2.0,1.0,1.0,1.0
17,2,0.0,0.0,0.0,1.0,0.0,0.0
17,3,0.0,0.0,1.0,0.0,0.0,1.0
17,5,0.0,0.0,0.0,0.0,0.0,1.0
17,6,0.0,1.0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,1.0,1.0,0.0,1.0
18,1,2.0,0.0,0.0,0.0,1.0,0.0
18,2,0.0,0.0,0.0,0.0,2.0,0.0
18,4,0.0,0.0,0.0,1.0,0.0,0.0
18,7,0.0,0.0,0.0,0.0,1.0,0.0
18,9,0.0,0.0,0.0,1.0,0.0,0.0
19,3,1.0,0.0,0.0,0.0,0.0,0.0
19,7,1.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,1.0,0.0,0.0,1.0,0.0
20,1,0.0,1.0,1.0,0.0,0.0,2.0
20,2,0.0,0.0,0.0,1.0,0.0,0.0
20,4,0.0,0.0,0.0,0.0,0.0,1.0
21,1,0.0,0.0,1.0,0.0,0.0,0.0
21,2,0.0,0.0,0.0,0.0,0.0,1.0
21,3,0.0,0.0,1.0,0.0,0.0,0.0
23,2,0.0,0.0,0.0,1.0,0.0,0.0
23,5,0.0,1.0,0.0,0.0,0.0,0.0
23,6,0.0,0.0,0.0,0.0,1.0,0.0
23,9,0.0,0.0,0.0,1.0,0.0,0.0
24,2,0.0,0.0,0.0,0.0,1.0,0.0
25,1,0.0,1.0,0.0,0.0,0.0,0.0
25,2,1.0,0.0,0.0,0.0,0.0,0.0
26,2,1.0,0.0,0.0,0.0,0.0,0.0
27,4,1.0,0.0,0.0,0.0,0.0,0.0
37,2,1.0,0.0,0.0,0.0,0.0,0.0
40,2,0.0,0.0,0.0,1.0,0.0,0.0
40,3,0.0,0.0,0.0,0.0,1.0,0.0
41,4,0.0,0.0,0.0,0.0,0.0,1.0
42,4,0.0,0.0,1.0,0.0,0.0,0.0
43,2,0.0,1.0,0.0,0.0,0.0,0.0
