id,avg_kill_ratio
account.cd291eb3cf72443c8c8ef5f14e3fb34e,0.6
account.cda616378f73404c845373bfe151b9cd,0.7405
account.cdaf3c3711994531ab1559c8b21b4735,0.8276
account.cde41e47c4604ad9a7f5d9663e47fd48,0.6829
account.cdf45c21cca0461eaf915666b35b312f,0.8653
account.ceafaafaf50342198e9cda511e49b858,0.5677
account.cee408cd3b3c48538b74e0fb47fa295a,0.878
account.cf66433de383404daf420a0ce5c271d7,0.9014
account.cf7c82d7b244459eb788b6ee6308537a,1.0
account.cfd562ad6f7e4be9bae9b25702b603c4,0.9006
account.cfddf98e382345d7bbc437877cae6ccd,0.7453
account.d00885149eb043d78ba073b571db7d89,0.827
account.d04164adee1445d7b08bf06d71385d75,0.6154
account.d1412bb169bd41f9b8cfcd056a1396a3,1.0
account.d15aadc58bd24374bf679b4db7857d81,0.96
account.d24fe23840d5425db94a5ab69723b0ff,0.9091
account.d2608f47ab0147f9949ba5945531ed30,0.7412
account.d2772fd2ee6641c0b800100ed3cb1f59,0.8261
account.d2baf7d6659e49b5b27dc82a7eeb5fa5,0.81
account.d2becdef438841b0a5c3084bcf0a7b19,0.5455
account.d2cb5110d1204530b95c0c7b6bf95aad,0.5806
account.d30a1abaf5c7428caae1d6976a093acb,0.791
account.d30c626b2a9d48dba7f1c360c9bd6e81,0.9778
account.d3c8c446d05648809a54ef2f1c9dc5ce,0.9111
account.d40d1fc81aee4891ba879e1a4b4ef851,0.878
account.d4c2a242bc684313a6295da9218eadce,0.9688
account.d51140edd1ca4da9bd337c8af6ce1bba,0.7059
account.d69715f9f5ff42429e81bb414a289814,0.9259
account.d698122a544f40c696099758ca36fb82,0.96
account.d6acff57d9a0420da8b0a4066dbed040,0.7
account.d75c12e913d14439aeacfdd690828b68,0.8868
account.d773ebc500054325b1aab68789f24ccd,0.8036
account.d851a760eadf4ef1a53d419304b57e75,0.5152
account.d87ddfa9b37a409889bf34ed35dbefb5,0.6923
account.d8de290995484a8c8b6622fe646c9edc,0.8495
account.d8fccfee61a8450ea590068b4e580d74,1.0
account.d96c2f0cf4bf43438d937a595e5a9d50,0.86
account.d974dde555cc4e918da2e34f4a04043e,0.6126
account.d9c2b8ea6a7a4bb48814ca7284a37af4,0.8
account.da1a6fa0bb694c6ea8e28747fcaf9afe,0.7725
account.993fa4a648df41a580ad09715bb40097,0.8627
account.99b388f8a47249d8b23a0becaa9116af,0.6667
account.9a161476a3524adeb2c080c033bc3864,0.8522
account.9ab4b05406684a909b84d75d8119173d,0.95
account.9b02e98800bb48f8878c705a0b863b34,0.8569
account.9c6456ec5df94d26a6b10cff7ef326d2,0.5238
account.9cf7004aa3fb4af1ab0dfe3638b5fa28,0.6429
account.9d68fd9266fd49389538b5b674b3deee,0.8793
account.9e1ae5829501467a9a2a16c2a77832e8,0.9231
account.9ee4ebb79883460995cc895f444c539a,0.8886
account.9efd5b93ef384c38a2b16da7aaf554a5,0.7167
account.9f35127207794725b99e98d84c6c685f,0.4245
account.a03dbdd240c34e73bd85aedaa0c44367,0.5951
account.a10a51c7018048a6b687ca72941f3ae4,0.7407
account.a145565e79674265ba1fb275b175d33d,0.6423
account.a16564260f9047ae89789145572e8da7,0.8696
account.a17ed42584504f11963e93d6eb5b2d7f,0.5042
account.a22e261a8e414a59a0030e69f3f9c4de,0.8704
account.a24cd408bc334a2ca3d1085ebb0ddb6f,0.9038
account.a2bf873c90cb415d8e4a25ca8777581f,0.9403
account.a2c1ae651a044014bfb663a69b10bdb7,0.9151
account.a3889575335945a1b16033ef0bbba44d,0.875
account.a3cfbe866e4849b79b0362c530e6f54d,0.7574
account.a4689fad39fb45d2a1ca2881cc188ccd,0.9125
account.a49c20c2f73d4a5b8650aad0ca28b8a4,0.8819
account.a4a003e12bdd4c9495ebfb439dd2b5d1,0.0
account.a59baf51590d4719a4750f1755b4eadf,0.8916
account.a63c0c91d80041a2b4ef1e4d600dab79,0.8333
account.a64607538d5a44478fe5669264277fe1,0.7716
account.a69a7aebef8441b3b6404aacf327d505,0.6316
account.a6e8f9edf454453683666ca7f0d3218e,0.7955
account.a6ec774847eb4022b4857ad885f8aead,0.8636
account.a7ae9cdacf2f45c397f09fc243c6c251,0.8667
account.a80e8c04433f44bc9f7a9711d0be8469,0.8635
account.a8270f23ebaa48ba8dce434c9009d440,0.6
account.a900abef1b97429caccd05cee2edd0a6,0.907
account.a90af69f4002425bb23667a5d806ae04,0.9583
account.a972d04bfc3d44f5b1104dd80bb2d5f0,0.4122
account.a986f1c6a23442c1846dc3f95e0347b7,0.625
account.a98a65311cd54e5dbabee780585a8de0,0.6757
account.a9c10d41c1c4427a88947957b1932cf3,0.65
account.aa0f4257f33d44b69de00a5427036d5f,0.6285
account.ab15ceb31f634017a8364112e6254df4,0.7597
account.ab1de91177dc4f6aab912d004fbc71f2,0.5303
account.ab37a9b8d4534c838d27a7c684d93438,0.8621
account.ad074fb0ce4b41838fdc842a21fd765e,0.7625
account.ad076d5bd68741a5861bcb77656ed610,0.7077
account.ae481ef49d394ba3940c0592d56afcad,0.7672
account.af0319a446e5409685cf383f8632a45d,0.3043
account.afb93198940b411b9171a37e914bdfa9,0.9091
account.b0863a2e374b4ce78b580cfb0cefb0a1,0.8878
account.b0f2d6c7f23a4ede89350bfb7f9db66b,0.8696
account.b2322bb3be314fc6a471f118adbdf161,0.371
account.b297f2d5283a4d829cd222f1db70f0e5,0.4319
account.b2abf1215dfc4b93872e1566a8d788c8,0.7937
account.b3a3d7692a8b4d23b74dd98686bbdac2,0.8571
account.b43fd3cbb1904ababfa25fdde0e7a9b3,0.8916
account.b4934edd43814d5dad607ea94852c187,0.8806
account.b4b90c02e9c249009cc667001af64123,0.7182
account.b5506684b7a141b6a0a370c37ad0456c,0.7381
account.b5b88ac719da4677b32098ff02785ec1,0.9074
account.b5c792abf0384cb2acca4b9c1e1f0302,0.875
account.b5d2d9eaef3c462cab1cc75944faabe7,0.8364
account.b60285e615364b6185120a4bb5a5591b,0.9643
account.b69bedf14d004a549c65f0599cf319c4,0.5097
account.b6c7745db22c48b48226176666039e98,0.9605
account.b7e4aad73ace4036b54a502b99ba2ddb,0.0
account.b903b96a546b4672bc476a7a31959b20,0.5185
account.b90a0c51e87341239c4e6ec74c095a51,0.9398
account.b96ef75aae7444a7ad22ef7778cd1c3b,0.8722
account.b9c09a3622e7488c97c7f3f8ff986244,0.7241
account.b9c19c0495344b148ad868a1ef226058,0.7703
account.ba54f6cd39504099bcbf72b966f1b023,0.6471
account.ba9810e0fcc54fd697c03d76785f5b2c,0.8077
account.baa112de854343339b160044fc82eada,0.8261
account.baa9f7efdd364df9a90aef9ae60a6fa9,0.4
account.bab9185ac8a7437d9406717324750ace,0.9114
account.bace85a1639340a68c3e73763b567454,0.7778
account.bae08d1affc946b8b38e5e4f854fd508,0.8571
account.bb87ce513faf41d99f107a3cdac9d053,0.4667
account.bbca894cc364409a8034cc3d06e9e116,0.8108
account.5a2560c654674cd0826a63443b357a50,0.9118
account.5ab134fcf9594f298468caf7203dedd1,0.8537
account.5b324d22fe4548829bcf63550d55dd9a,0.3333
account.5b9712ef5d7b4bed8139378f7621752f,0.8565
account.5c07f2c3b7054339ae031310de59dd8d,0.6944
account.5c374b3edf5245f2b3c380fecc587499,0.8313
account.5d19a21fba634c8cbf4ed13b2d31eae8,0.75
account.5d419e94fc9e4c5b9ee2f5732e622bc9,0.9359
account.5d7f31c9302548808d278e17acd13f89,0.9091
account.5e0214d2d2044a8d93828632ce8aee83,0.9294
account.5e69b78da70144cb95591c6108e7a36f,0.6905
account.5f9ab67f83034b1a980c9a2d1a66fa05,0.5
account.5fbc6635f29941c695e7c0b2b4a022cf,0.9348
account.6147d21716914911a78ba675cd468335,0.917
account.615971a7144349d687cd3200ecac4527,0.8888
account.61973e29f5fb40118b0548a7fcd6b037,0.6923
account.62f0e9bea671460b9f3550ec98aa7236,0.7692
account.633d3b4b83014c4db4f2fb4300bea201,0.4286
account.63d67b1acad1450e9e273dbc52ad7b28,0.8807
account.64245ade68fe4024b0161bd918364a60,0.8009
account.642deac917904a9ba8db326a0311401f,0.7593
account.645ff86dc8e642a4a26c362b7532cf19,0.9
account.652c0f10a4d1446781825b1593d62a0e,0.8087
account.6598435b59994e028420dd9eeeaa94f8,0.9231
account.66194937b6c34bf69ff4c4dfbfba9df3,0.8558
account.66d608dd5e294e849fc6b3bf0c93e003,0.7188
account.66e8b6b100354a8b9ef226c8d50114c0,0.3793
account.670fd0024ebd441f82978e00e6517f5d,0.8889
account.671a956e3c3d41d89fdcbbb7e2f0f4d7,0.9231
account.6763865a2d654325a53ec95c8e960959,0.7241
account.67e43e27604b4a80aa65906eba35f9bc,0.6727
account.6825517dd92a438cb7152f1b9cc7d912,0.6826
account.6832ae371a284ebb82b8a50d25db8aae,0.6737
account.684caad918de4e73baa5eeb15b4ee885,0.7266
account.693478077d614629b26d068f03562cad,0.8624
account.693a4a14e93f44618bcded8c8b7c9fe3,0.0
account.69754cf4aae941c894f473d4cd688909,0.8393
account.69c29fca7eab498d956aff988cc6c383,0.4545
account.69fca7f27e454745b31315d70db1ab80,0.975
account.6a79e2a2cfe4478b93ac8d2c0c417fc1,0.702
account.6b208940b7844ea996babf9bb18898cc,0.7895
account.6b363fea4e894767ae3b987bf3077afe,0.7875
account.6bdbdb4a30ff4b1bb85d7a31cd7d9f81,0.7976
account.6ccea3c1860744ef8c7a7b2528e5a118,0.8889
account.6daa1013a082455c9b503cc45c48aad6,0.7308
account.6dccf1b38d9741378a73c529daa72bf4,0.7179
account.6e7586500a5d44b1b5b0c98f8c134518,0.7425
account.6f5f53bc167b466d8d502ffc42ed3d57,0.9
account.6f8b0c2d01254415a9be799c7dd895d0,0.6486
account.6fd9c68633144be48ea1c30012400ec5,0.1875
account.70eb95960e124d8e940a297e322f5ad9,0.9583
account.7141c8bf3200457386c0fff0b01416c3,0.949
account.71aea180f8334cda85a4f6fe50edf5a0,0.7494
account.71f91a2acf7a487599528d5cbf4b9402,0.4545
account.72ee65d1119a4526bf7e5ade05630e6f,0.8277
account.73abe1b1d98941e3a015bad09a327603,0.5714
account.74eeb8a9b23c454383aa26a4152289cc,1.0
account.75ad0b5662224e54b740c76cfb476fa5,0.6302
account.76996615380149c09441a33b47220fbf,0.7419
account.7747ed77593e4529bd2706c2d6a4d724,0.6372
account.77d26af6f8584f749cb3e28d007868cf,0.9795
account.78cdca731dd64590b2d485eccbeffff0,0.0
account.78e3053d223a48559f12dd1741852401,0.7265
account.78f031198c744fd585b66c4f7c7f190e,0.6667
account.7900de5c80bb4cdcbdfe4d554146ee2b,0.8661
account.795fd90cf0bc4b04be75eca3846ce21f,0.9016
account.7b08bd7b4c274e1b8f8631673c580ee7,0.4762
account.7b5a1a4cb8db4bd490d624daef8647d9,0.8571
account.7b78e43b5db74062acf3c14675f4f90b,0.9302
account.7c22ae463b814e7abc7bbb3423f6f685,0.8966
account.7c371f20ba4949fbbdefb8dcc6b5e988,1.0
account.7c7e4183bda24dc88db67d8ce240cd4a,0.9737
account.7cc3b8467ada4caeacede7f08aaa3fb2,0.8028
account.7cf8fc6608904d5398d1dfa8f6c078f1,0.7647
account.7d952f45d2d14732bed03eb9f433cf1a,0.8376
account.7db6f322a74946a7968c059432ee510f,0.88
account.7dced8d6da0749b5945f0ac89f027162,0.8704
account.7dd2ed73f20e441daa9c3aadae230d7b,0.6875
account.7ddd882cdd124691992017a293bced54,0.8333
account.7e0f93ea60574803a8dd6ee4721ef46c,0.7499
account.7ea0e42a73954454a8bc6efe7889bc95,0.8
account.1c3abaa0904842478e6f5020835130e6,1.0
account.1c3b796a010e4a50935fc98885156329,0.4
account.1c4cf8633d4f4f8db6de95cb093bd9bf,0.56
account.1c84055c791c47c4b8e2b40068cc7186,0.9417
account.1cb8b6fcd79d47c9b70dddf5f3cb57d7,0.8737
account.1cbd9249d1ef452eab388821966d1bc7,0.8333
account.1ce3d5775be44542b84d31d432631aa8,0.9254
account.1d80b6454a0a40a9bc62df60bcff3d23,0.3636
account.1de49a0f72c14a53a7e78d78dd40ebeb,0.7647
account.206330ab041541b9a1375317705c2fb3,0.9505
account.213368b1aed941d2a92fc82bd2b58702,0.5901
account.215b27f4c7af491bbe3db448d720473d,0.8866
account.216ad15bd6d24db291279c9dc53ae8a3,0.6933
account.218f8330411345e3ad2b67be87517d7f,0.8488
account.21d11dcae6a24c9e9c2ced5174a6a39b,0.7447
account.21d1fe7463be4c098f1f30b035bb14d8,0.7589
account.223d831611ea4ce8b11aab849d76872d,0.7273
account.224846e164b54fce9004d9d66fbdd341,0.875
account.22c4105126744d039f550d927641338d,0.9125
account.22fdfdf0438a4975830c122dea6dd8d0,0.7576
account.234377ef1fb94729927780a1206cc4f2,0.8241
account.2343aae7ac15432a868d1a47dc4aa292,0.8586
account.242c51f447644ba9ae599e3761d5f760,0.3667
account.244b53e2a2e14822bbff9fc13bd44772,0.622
account.24d3ccc040384b56a676c7111bf63d72,0.7627
account.2502df0f04ff4feb8907ad3c6975f7be,0.8969
account.253ed258ebd24f1ab1d6f4a6f7218e99,0.625
account.25677b46fdbf4ed59a77c585b019d26d,0.4118
account.256b6e34ef3b41b1a7008da03fd0aa7b,0.5417
account.2596939cd9bd4936b2862a5d51ad9a11,0.9455
account.25d88a1e258443f093c753bf7114b5ff,0.9419
account.26afa69c69214892a197f87435147362,0.8131
account.26c060494d8f49a6bfc2ede3cbe4221b,0.7917
account.26e4b3eaff7549b2bb246f14fd1b2ed4,0.875
account.272b33c633774a4a8e514d52b4844cbf,0.787
account.27478c512f2f4ceb8d2c75de7a15d67c,0.6574
account.27a0e33a78064ec7a75cb3552cc39775,0.96
account.289e5d7fb531488499d9be5b14f71f44,0.9077
account.28e4586bd1ae46658ca0a10eca3b62cf,0.8051
account.28f0ce2863164e6282876bb18b4d0d6b,0.8837
account.291e7e7de2e24c5d86987bc07dd9918b,0.4853
account.292503bd54374a5c8461614620f14019,0.8392
account.29263c24038047bfb857407b204b377d,0.5467
account.292e3d130ec94ebeb604f7b636cc9cd9,0.5294
account.293b34d319ed4ddab5e7d3a7044456e6,0.6625
account.299b4920ede64f5a9577d8d3a3f45c09,0.7792
account.29a4540f79ec4b399576f92512e0901d,0.9375
account.29a5dbcddcdf47a08f9bea365fdb9e8f,0.9556
account.29c35033e29943b59f4f391edc9b9efd,0.4824
account.29d3718025b94a8b94d841d94585a08e,0.8485
account.2a00a7d3f83e47c48d8dbe8c1c31cf38,0.8114
account.2a6d5fa28fa747ae986eac2168bd3d46,0.8
account.2abd98da6e68498c8738bafcf8dfbc45,0.8889
account.2abf482508dd4997b89f5f73b98369c3,0.9655
account.2b1de336246449d39b4926b0fec2665b,0.8462
account.2b586b49530d41c597d4bfce508da1a8,0.5862
account.2b7d3a5bc3d84d9ba91f02a1205355ac,0.9378
account.2cbcff798c8f4003b6c3c4c4aa9c2873,0.8814
account.2da2c83c4e1842f38087ea3c1aac096b,0.8
account.2dc7fc4beaa043f59062479a4caad518,0.7119
account.2e6af3b57a7e46b0bee0f2b4290e387b,0.8619
account.2f40ec6bed764825a0d538a00650fe8c,1.0
account.2fb8221123b8433ca13b117c12fe9951,0.9167
account.2fec4c8224924b6889915e9dc9ff8181,0.8216
account.308d379dc66c42ec848032429c2a61f6,0.5
account.318dcdf8dd2d427aa98f6fc1d603b7c1,0.5882
account.31ff4d4e61c84e579934d6e6b07dc7ea,1.0
account.32a0c14b0d064d1aa7515faedaf2cf02,0.8688
account.32b40f746cdc49a199e89592c0f7d9db,0.4898
account.32d29caa11e34ac8a5d73e5ab1340ec6,0.8036
account.334523a48b4f4fa39189ae9fdce238e9,0.9091
account.336ab21aa8b44e9fb6f04df31b86235f,0.642
account.3377ec64603441f991adfbd3eefeb3a0,0.9298
account.33913be3b840425cb5dc1baf5c894f0d,0.9672
account.346f9a489495485ca19ce71400c61a56,0.1667
